commonid,BlockStartingHour,BankerGroup,state
2018011,11,Refinance,VA
2018133,11,Refinance,CA
2018133,11,Refinance,DE
2018133,11,Refinance,DC
2018133,11,Refinance,FL
2018133,11,Refinance,ID
2018133,11,Refinance,LA
2018133,11,Refinance,MD
2018133,11,Refinance,MA
2018133,11,Refinance,MI
2018133,11,Refinance,MN
2018133,11,Refinance,MT
2018133,11,Refinance,NC
2018133,11,Refinance,OH
2018133,11,Refinance,OR
2018133,11,Refinance,PA
2018133,11,Refinance,SC
2018133,11,Refinance,TN
2018133,11,Refinance,TX
2018133,11,Refinance,VA
2018181,11,Refinance,AL
2018181,11,Refinance,AZ
2018181,11,Refinance,CA
2018181,11,Refinance,FL
2018181,11,Refinance,GA
2018181,11,Refinance,IL
2018181,11,Refinance,IN
2018181,11,Refinance,NC
2018181,11,Refinance,OH
2018181,11,Refinance,OK
2018181,11,Refinance,PA
2018181,11,Refinance,TN
2018181,11,Refinance,TX
2018181,11,Refinance,VA
2018181,11,Refinance,WA
2018181,11,Refinance,WV
2018206,11,Refinance,CA
2018206,11,Refinance,CO
2018206,11,Refinance,CT
2018206,11,Refinance,FL
2018206,11,Refinance,GA
2018206,11,Refinance,IL
2018206,11,Refinance,KS
2018206,11,Refinance,MD
2018206,11,Refinance,MI
2018206,11,Refinance,NC
2018206,11,Refinance,OH
2018206,11,Refinance,PA
2018206,11,Refinance,TX
2018206,11,Refinance,VA
2018206,11,Refinance,WV
2018206,11,Refinance,WI
2018321,11,Refinance,AR
2018321,11,Refinance,CA
2018321,11,Refinance,CO
2018321,11,Refinance,DE
2018321,11,Refinance,LA
2018321,11,Refinance,MD
2018321,11,Refinance,MA
2018321,11,Refinance,MI
2018321,11,Refinance,MO
2018321,11,Refinance,NE
2018321,11,Refinance,OH
2018321,11,Refinance,OR
2018321,11,Refinance,RI
2018321,11,Refinance,SC
2018321,11,Refinance,TN
2018321,11,Refinance,TX
2018321,11,Refinance,VA
2018321,11,Refinance,WA
2018321,11,Refinance,WY
2018499,11,Refinance,CA
2018499,11,Refinance,GA
2018499,11,Refinance,KY
2018499,11,Refinance,MD
2018499,11,Refinance,MA
2018499,11,Refinance,MI
2018499,11,Refinance,MO
2018499,11,Refinance,NJ
2018499,11,Refinance,NC
2018499,11,Refinance,OK
2018499,11,Refinance,OR
2018499,11,Refinance,PA
2018499,11,Refinance,TX
2018499,11,Refinance,VA
2018499,11,Refinance,WA
2018533,11,Refinance,CA
2018533,11,Refinance,FL
2018533,11,Refinance,GA
2018533,11,Refinance,HI
2018533,11,Refinance,ID
2018533,11,Refinance,MD
2018533,11,Refinance,MI
2018533,11,Refinance,MN
2018533,11,Refinance,MO
2018533,11,Refinance,NE
2018533,11,Refinance,NJ
